iter	MultiClass
0	1.323919536
1	1.11878853
2	0.9560208825
3	0.8267140762
4	0.7133711061
5	0.6251030787
6	0.5565839826
7	0.4917903941
8	0.4425382455
9	0.3994998243
10	0.358139417
11	0.3257927489
12	0.2951193579
13	0.2672606203
14	0.2450825915
15	0.2269595671
16	0.2060431106
17	0.1882425657
18	0.1736951883
19	0.1608261727
20	0.149808534
21	0.1384861002
22	0.1291220772
23	0.1194389051
62
24	0.108689346
25	0.1019095073
	0.09468674645
27	0.08907409519
8	0.08676514856

29	0.08079693766
30	0.07661190643
0.07684164911
32	0.07313404597
833	0.07043729873
34	0.06744012668
2
35	0.06387467464
06520874046
01
37	0.05931542298
38	0.0567074963
39	0.05411194464
40	0.05123711263
23
41	0.04794998182
42	0.0464300837
43	0.04501162427
