iter	Passed	Remaining
0	1	307
1	1	260
2	7	727
3	8	592
4	8	523
5	9	466
6	10	423
7	10	389
8	11	363
9	16	484
10	19	501
11	20	482
12	28	626
13	30	616
14	31	589
15	31	564
16	33	554
17	34	534
18	34	514
19	42	591
20	42	570
21	45	569
22	45	553
23	46	535
24	47	518
25	50	537
26	54	546
27	54	530
28	58	545
29	60	547
30	61	533
31	65	551
32	66	539
33	74	582
34	75	568
35	75	554
36	76	541
37	76	529
38	87	583
39	88	572
40	92	581
41	92	569
42	93	560
43	94	549
44	95	539
45	95	529
46	96	519
47	97	510
48	98	504
49	106	530
50	106	521
51	107	513
52	108	504
53	108	495
54	109	487
55	109	478
56	110	471
57	116	486
58	117	479
59	118	473
60	119	466
61	119	459
62	123	464
63	124	460
64	125	453
65	126	447
66	126	441
67	127	434
68	128	429
69	128	423
70	129	418
71	130	412
72	130	407
73	131	402
74	132	397
75	133	392
76	133	387
77	138	392
78	138	388
79	141	387
80	141	383
81	142	379
82	143	374
83	144	370
84	150	379
85	150	375
86	163	400
87	164	395
88	165	391
89	166	387
90	166	383
91	168	379
92	169	377
93	170	373
94	171	369
95	174	371
96	188	393
97	189	389
98	189	385
99	190	381
100	191	377
101	202	393
102	203	389
103	207	391
104	208	387
105	209	383
106	210	379
107	212	378
108	213	374
109	222	384
110	232	395
111	234	392
112	251	415
113	256	418
114	256	413
115	257	408
116	257	403
117	258	398
118	260	396
119	261	392
120	262	388
121	263	384
122	268	386
123	269	382
124	269	377
125	270	373
126	271	369
127	271	365
128	272	361
129	272	356
130	273	352
131	274	348
132	274	345
133	275	341
134	276	337
135	276	333
136	277	330
137	278	326
138	278	322
139	279	319
140	280	315
141	280	312
142	281	308
143	281	305
144	282	302
145	283	298
146	283	295
147	284	292
148	285	289
149	285	285
150	286	282
151	286	279
152	287	276
153	287	273
154	288	270
155	289	266
156	289	263
157	290	261
158	291	258
159	291	255
160	292	252
161	292	249
162	293	246
163	294	243
164	294	241
165	295	238
166	296	235
167	296	233
168	297	230
169	298	228
170	298	225
171	299	222
172	300	220
173	300	217
174	301	215
175	302	212
176	302	210
177	303	207
178	303	205
179	304	202
180	304	200
181	305	198
182	306	195
183	306	193
184	307	191
185	308	188
186	309	186
187	309	184
188	310	182
189	311	180
190	311	177
191	312	175
192	312	173
193	313	171
194	313	168
195	318	169
196	319	167
197	320	165
198	325	165
199	326	163
200	326	160
201	327	158
202	327	156
203	328	154
204	329	152
205	329	150
206	330	148
207	331	146
208	331	144
209	332	142
210	332	140
211	333	138
212	333	136
213	334	134
214	334	132
215	335	130
216	336	128
217	336	126
218	337	124
219	337	122
220	338	120
221	338	119
222	339	117
223	340	115
224	340	113
225	341	111
226	341	109
227	342	108
228	342	106
229	343	104
230	344	102
231	344	101
232	345	99
233	345	97
234	346	95
235	347	94
236	347	92
237	348	90
238	348	89
239	349	87
240	350	85
241	350	84
242	353	82
243	354	81
244	355	79
245	355	78
246	356	76
247	357	74
248	357	73
249	358	71
250	358	70
251	359	68
252	359	66
253	359	65
254	360	63
255	361	62
256	362	60
257	362	59
258	363	57
259	364	56
260	364	54
261	365	52
262	365	51
263	366	50
264	367	48
265	367	47
266	368	45
267	368	44
268	369	42
269	369	41
270	370	39
271	370	38
272	371	36
273	371	35
274	371	33
275	372	32
276	372	30
277	373	29
278	373	28
279	374	26
280	374	25
281	375	23
282	375	22
283	376	21
284	376	19
285	376	18
286	377	17
287	377	15
288	378	14
289	378	13
290	379	11
291	379	10
292	379	9
293	380	7
294	380	6
295	381	5
296	381	3
297	382	2
298	382	1
299	382	0
98	537	1
299	537	0
	0
